Bánh canh,Miền Nam,Mì,"Được làm từ bột gạo, bột mì, hoặc bột sắn hoặc bột gạo pha bột sắn cán thành tấm và cắt ra thành sợi to và ngắn với nước dùng được nấu từ tôm, cá, giò heo... thêm gia vị tùy theo từng loại[1][2]"
Bánh đa cua,Hải Phòng,Bánh đa nước,Bánh đa với nước dùng riêu cua
Bún bò Huế,Thừa Thiên-Huế,Bún nước,"Bún đặc sản của xứ Huế, trong nước dùng có một ít mắm ruốc, góp phần làm nên hương vị rất riêng[3]"
Bún bung,Hà Nội,Bún nước,Bún nấu với sườn và dọc mùng
Bún cá,Hà Nội,Bún khô,"Bún và chả cá nướng trộn nước mắm, rau sống"
Bún chả,Hà Nội,Bún,Bún ăn kèm chả viên và chả miếng với nước chấm
Bún chả cá,Đà Nẵng,Bún nước,Bún với chả cá chan nước dùng nóng[4]
Bún chạo tôm,Huế,Bún khô,"Tôm xiên vào que mía nướng ăn kèm bún, rau sống"
Bún đậu mắm tôm,Miền Bắc,Bún khô,Bún ăn với đậu rán và mắm tôm
Bún mắm,"Trà Vinh, Sóc Trăng",Bún nước,Bún chan nước dùng làm từ mắm cá linh hay cá sặc
Bún mọc,Hà Nội,Bún nước,Bún với mọc chan nước dùng
Bún ốc,Miền Bắc,Bún nước,"Bún, ốc với nước dùng có vị chua"
Bún riêu cua,Khắp cả nước,Bún nước,"Bún và riêu cua được nấu từ gạch cua, thân cua giã, lọc với quả dọc, cà chua, mỡ nước, mẻ ngấu, nước mắm, muối, hành hoa.[4][5]"
Bún thịt nướng,Huế,Bún khô,Bún ăn với thịt nướng cùng nước mắm và rau sống kiểu Huế.[1][4][6]
Bún thang,Hà Nội,Bún nước,"Bún ăn với nước dùng và cần đến 20 nguyên liệu: rau răm, mùi tàu, trứng gà rán mỏng, lườn gà xé, giò lụa thái sợi rải đều trên nền bún trắng. Bún phải là loại bún sợi nhỏ. Trên rắc tôm bông và rải vài lát lạp xường."
Cao lầu,Hội An,Mì khô,Đặc sản của Hội An với sợi mì được chế biến rất công phu ăn cùng giá đỗ và thịt xá xíu
Hủ tiếu,Miền Nam,"Mì khô, mì nước","Bánh hủ tiếu chan nước dùng với thịt băm nhỏ, lòng heo nấu cùng. Sau đó trụng sơ bánh hủ tiếu với nước dùng, rồi cho các nguyên liệu phụ vào như giá đỗ, hẹ, thịt băm cùng lòng lợn vào"
Mì Quảng,Quảng Nam,Bánh tráng,"Được làm từ sợi mì bằng bột gạo xay mịn và tráng thành từng lớp bánh mỏng, sau đó thái theo chiều ngang để có những sợi mì mỏng khoảng 2mm. Sợi mì làm bằng bột mỳ được trộn thêm một số phụ gia cho đạt độ dòn, dai. Dưới lớp mì là các loại rau sống, trên mì là thịt heo nạc, tôm, thịt gà cùng với nước dùng"
Mì xào,Khắp cả nước,Mì,"Mì xào chín giòn với trứng, rau, hải sản..."
Cơm bụi,Khắp cả nước,Cơm tẻ,"Cơm bình dân với nhiều món ăn đa dạng, phong phú. Thông thường thực đơn sẽ bao gồm một dĩa cơm và một phần thức ăn theo lựa chọn, một bát canh."
Cơm cháy Ninh Bình,"Ninh Bình,Hải Phòng",Cơm tẻ,"Cơm cháy là phần cơm dưới đáy nồi khi nấu cơm thường chín vàng giòn, cơm cháy lấy ra xong phải phơi nắng tự nhiên hai, ba nắng, để chỗ thoáng, tránh ẩm mốc, lúc gần ăn mới chiên giòn"
Cơm hến,Thừa Thiên-Huế,Cơm tẻ,"Cơm nguội trộn với hến luộc, nước hến, mắm ruốc, rau bắp cải, tóp mỡ, bánh tráng nướng, mì xào giòn, ớt màu, đậu phộng nguyên hạt, dầu ăn chín, tiêu và muối"
Cơm gà Quảng Nam,Quảng Nam,Cơm tẻ,Cơm tẻ chín tới ăn với gà luộc rưới nước dùng gà
Cơm lam,"Trung du và miền núi phía Bắc, Tây Nguyên",Cơm nếp,"Được làm từ gạo nếp cùng một số nguyên liệu khác, cho vào ống tre, giang, nứa và nướng chín trên lửa"
Cơm nắm,Miền Bắc,Cơm tẻ,"Là món ăn có từ rất xa xưa của dân tộc. Cơm trắng nóng hổi đem nén chặt thành tấm bằng hai bàn tay rồi xắt miếng chấm với muối vừng vừa dẻo vừa bùi hài hòa vị mặn, ngọt."
Cơm nếp,Khắp cả nước,Cơm nếp,"Được nấu bằng gạo nếp, khác biệt với xôi chủ yếu ở phương thức nấu trực tiếp trong nước, không làm chín bằng hơi nước."
Cơm rang,Khắp cả nước,Cơm tẻ,"Cơm cùng với dầu ăn hoặc mỡ được chiên với những thức ăn khác như thịt, trứng... Món ăn cực kỳ phổ biến tại Việt Nam"
Cơm tấm,Miền Nam (Thành phố Hồ Chí Minh),Cơm tấm (gạo tẻ vụn),"Cơm tấm có thể gồm cả sườn, bì, chả, trứng hoặc không gồm đầy đủ các món trên nhưng phải có nước mắm ngọt"
Cơm trắng,Khắp cả nước,Cơm tẻ,"Được làm ra từ gạo bằng cách đem nấu với một lượng vừa đủ nước, chỉ có nguyên liệu là gạo tẻ và không có thêm gia vị, là thức ăn gần như hàng ngày của người Việt"
Cá kho,Khắp cả nước,Món cá,"Cá chế biến bằng cách kho với kẹo đắng, vị chua, vị ngọt và nước mắm"
Cá khô,Khắp cả nước,Đồ khô,"Cá tươi đem bỏ ruột, để nguyên con, xẻ đôi, rồi đem phơi khô ngoài nắng. Trước khi phơi có khi cá được xát muối để giúp việc bảo quản. Cá thu và cá thiều khô được nhiều người ưa chuộng."
Chả,Khắp cả nước,Món thịt,"Miếng thịt lợn, thịt bò, cá, tôm, mực..., kích thước thích hợp, nguyên miếng (chả miếng) hay là được băm viên (chả viên), giã hay xay nhuyễn rồi rán hoặc nướng."
Dồi,Khắp cả nước,Phủ tạng,"Lòng già được nhồi đầy hỗn hợp gồm tiết và các loại rau, gia vị, tỏi, lạc và đậu xanh. Sau khi nhồi đầy chặt thì được hấp cách thủy cho chín hoặc nướng."
Dưa muối,Khắp cả nước,Lên men,"Sử dụng rất đa dạng các loại rau, củ, quả phối trộn với muối theo một tỉ lệ nhất định theo kinh nghiệm của người ẩm thực không quá mặn cũng không quá nhạt."
Giò,Khắp cả nước,Món thịt,"Giò là thịt (gia súc, gia cầm) giã nhuyễn, được gói chặt và luộc chín trong nước, thịnh hành trong ẩm thực Việt Nam với nhiều biến thể"
Lòng non,Khắp cả nước,Phủ tạng,Lòng lợn non luộc chín hoặc xào
Rau muống xào tỏi,Khắp cả nước,Rau xào,Rau muống luộc qua hoặc không xào trên lửa to với dầu (mỡ) và tỏi đập dập
Riêu,Khắp cả nước,Canh,"Các loại rau củ quả nấu với các loại thịt hay thủy sản khác nhau, trong đó dùng một gia vị chua để tạo vị chua thơm ngon cho nước canh"
Ruốc,Khắp cả nước,Món thịt,"chế biến từ thịt lợn nạc, thịt gà bỏ xương và da, cá rút xương, bỏ da hoặc tôm to rang chín rồi dùng chày giã dập, cho vào chảo tiếp tục rang, sấy thật nhỏ lửa"
Thịt kho,Khắp cả nước,Món thịt,"Thịt lợn (luôn phải có mỡ, nếu không phải thêm mỡ hoặc dầu ăn) vào nồi đun cho tới chín, cho thêm nước mắm để có vị mặn nhạt theo sở thích"
Xôi trắng,Khắp cả nước,"Xôi ăn sáng, ăn chính, xôi cúng","Chỉ với gạo nếp và chút muối, không có bất cứ một nguyên liệu phụ nào khác hoặc đôi khi chỉ được kết hợp với một chút màu thực phẩm. Xôi trắng thường rất thịnh hành như một thứ quà trong sự kết hợp với các thực phẩm động vật"
Xôi vò,Khắp cả nước,"Xôi ăn chính, xôi cúng","Điểm đặc biệt của loại xôi này là các hạt xôi được tách rất rời nhưng vẫn rất dẻo. Gần tương tự xôi xéo với đậu xanh đồ chín tán nhuyễn, nhưng gạo nếp được đồ riêng với một chút lá dứa lấy mùi thơm, và có thể có một chút bột dành dành, bột nghệ tạo màu"
Xôi xéo,Hà Nội,Xôi ăn sáng,"Xôi đặt trong bát, lấy dao lạng mỏng từng lát xéo đậu xanh lên trên, rắc hành phi và rưới chút mỡ nước. Đây được coi là một trong những món xôi khó nấu ngon nhất"
Cháo lòng,Khắp cả nước,Cháo,"Cháo kết hợp với nước dùng ngọt làm từ xương lợn hay nước luộc lòng lợn, và nguyên liệu chính cho bát cháo không thể thiếu các món phủ tạng lợn luộc"
Cháo trắng,Khắp cả nước,Cháo,Nấu gạo chín nhừ trong nước. Để được thành cháo thường thì thể tích nước phải hơn gấp 3 lần thể tích gạo
Lẩu,Khắp cả nước,Lẩu,"Gồm một nồi nước dùng đang sôi, các món ăn sống được để xung quanh và người ăn gắp đồ ăn sống bỏ vào nồi nước dùng, đợi chín tới và ăn nóng"
Mướp đắng nhồi thịt,Khắp cả nước,Canh,"Mướp đắng được nhồi thịt, bó lại bằng hành hoa nấu trong nước xương ninh"
Ốc nấu chuối đậu,Khắp cả nước,Canh,"Món ăn dân dã nhưng khá cầu kỳ với ốc luộc chín nấu cùng chuối xanh, đậu rán, thịt ba chỉ, có lá lốt, tía tô"
Súp cua,Khắp cả nước,Súp,"Món súp với thịt cua, trứng gà hoặc trứng cút ngoài ra còn có xương gà để làm súp thêm vị ngọt và bỗ dưỡng hoặc hạt bắp."
Súp yến,Khắp cả nước,Súp,"Món ăn sang trọng, đắt tiền, bổ dưỡng nằm trong Bát trân nấu từ tổ yến với đường."
Bánh cuốn,Khắp cả nước,Bánh tẻ,"Bột gạo hấp tráng mỏng, để ăn khi còn ướt, bên trong cuốn nhân. Bánh thường ăn với một loại nước chấm pha nhạt từ nước mắm [7][8]"
Bò bía,Khắp cả nước,Bánh bột mì,"Gồm bò bía mặn và bò bía ngọt, đều là bột mì cuốn các nguyện liệu khác"
Nem rán,Khắp cả nước,Bánh đa nem cuốn,"Món ăn ngon, nổi tiếng của người Việt và được chế biến từ thịt, trứng, rau củ quả băm nhỏ trộn đều, gói trong bánh đa nem và rán giòn"
Gỏi cá,Khắp cả nước,Bánh đa nem cuốn,Thịt cá sống cuốn trong bánh đa nem cùng rau thơm ăn với nước chấm
Nem cuốn,Khắp cả nước,Bánh đa nem cuốn,"Bánh đa nem cuộn với các loại rau thơm, bún, và một số loại thịt như thịt bò, lợn, vịt, tôm, cá, cua đã nấu chín."
Nem chua,Khắp cả nước,Lên men,"Sử dụng thịt lợn, lợi dụng men của lá và thính gạo để ủ chín, có vị chua ngậy. Đặc sản nổi tiếng ở Việt Nam"
Bánh bao,Khắp cả nước,Bánh bột mì,"Làm bằng bột mỳ hấp có nhân gồm thịt heo xay, mộc nhĩ, nấm hương, miến, lạp xưởng, trứng chim cút hoặc trứng gà.[8]"
Bánh bèo,Quảng Bình,Bánh tẻ,"bánh làm từ bột gạo, nhân để rắc lên bánh làm bằng tôm xay nhuyễn, và nước chấm, một hỗn hợp mà nước mắm là thành phần chính và thường đổ trực tiếp vào bánh[8]"
Bánh bột lọc,Bắc Trung Bộ,Bánh bột sắn,"Bằng bột sắn được luộc một phần nhỏ, nhồi kỹ. Nhân thường bằng tôm trộn với gia vị, có thể làm nhân bằng thịt heo nạc hay hỗn hợp tôm-thịt heo[8][9]"
Bánh căn,"Khánh Hòa, Ninh Thuận, Bình Thuận",Bánh tẻ,"Bằng bột gạo nướng. Làm bánh căn thường phải có khuôn đúc đặc biệt, thường làm bằng đất nung, và có nhiều lỗ tròn để đặt khuôn. Vì bánh căn nhỏ nên thường tính theo cặp chứ không theo cái, ở giữa có thể quét mỡ hành hoặc đổ trứng.[1]"
Bánh chưng,Miền Bắc,Bánh nếp,"Là loại bánh duy nhất có lịch sử lâu đời trong ẩm thực truyền thống Việt Nam còn được sử sách nhắc lại, bánh chưng có vị trí đặc biệt trong tâm thức của cộng đồng người Việt"
Bánh cống,Sóc Trăng,Bánh bột sắn,"Là hỗn hợp của thịt heo băm nhuyễn trộn với củ sắn và đậu xanh nguyên hột, trên mặt bánh có một con tôm nằm khoanh tròn"
Bánh dày,Khắp cả nước,Bánh nếp,"Được làm bằng xôi đã được giã thật mịn, có thể có nhân đậu xanh và sợi dừa với vị ngọt hoặc mặn. Bánh có thể được làm vào các dịp Tết cổ truyền của dân tộc Việt và vào ngày Giỗ Tổ Hùng Vương"
Bánh đúc,Khắp cả nước,Bánh tẻ,"làm bằng bột gạo (tại miền Bắc và miền Trung) hoặc bột năng (miền Nam) với nước vôi trong một số gia vị. Bánh được làm thành tấm to, khi ăn thì cắt nhỏ thành miếng tùy thích."
Bánh giò,Khắp cả nước,Bánh tẻ,"Bằng bột tẻ lọc, thịt nạc vai dùng chế biến nhân có kèm mộc nhĩ, hành khô, hạt tiêu, nước mắm, muối... Bánh giò có hình dài nhô cao như hình bàn tay úp"
Bánh gối,Khắp cả nước,Bánh rán,"Được làm bằng nhiều lớp bột và chiên giòn. Theo truyền thống, nhân thịt lợn, nhưng ngày nay thịt gà và thịt bò cũng được sử dụng."
Bánh hỏi,"Vũng Tàu, Nha Trang, Phú Yên, Bình Định",Bánh tẻ,"Được làm từ bột gạo và có quy trình chế biến đặc biệt công phu, tỉ mỉ thường ăn chung với mỡ hành, thịt quay, thịt nướng, lòng heo..."
Bánh ít,Khắp cả nước,Bánh tẻ,làm từ bột nếp và bột đậu xanh với phương pháp hấp cách thủy. nhân bánh ít được xào chín trước khi gói cẩn thận bằng lá gai hoặc lá chuối tơ[8]
Bánh ít trần,Khắp cả nước,Bánh tẻ,"Bánh ít không gói trong lá, thường rắc ruốc tôm, ruốc thịt lên trên"
Bánh khọt,Bà Rịa–Vũng Tàu,Bánh tẻ,"Bằng bột gạo, có nhân tôm, được rán và ăn kèm với rau sống, ớt tươi, chấm nước sốt mắm tôm (không phải mắm tôm hay mắm tôm chua)[8]"
Bánh khúc,Miền Bắc,Bánh nếp phủ xôi,"làm từ lá rau khúc nếp, gạo nếp, nhân đậu xanh, thịt lợn mỡ có bọc ở ngoài bằng xôi"
Bánh mì,Khắp cả nước,Bánh bột mì,Bánh mì rạch đôi kẹp nhân ở giữa. Rất nhiều chủng loại khác nhau tùy vào nhân[10]
Bánh nậm,Thừa Thiên-Huế,Bánh tẻ,"Bằng bột tẻ, bánh mỏng dẹp với nhân nấm, thịt lợn, tiêu, ớt gói trong lá chuối[8]"
Bánh quai vạc,"Nam Trung Bộ, miền Nam","Bánh bột năng, bánh rán","được làm từ bột (khoai) mì tinh (hay bột năng) bên trong nhân có thể chứa tôm, thịt rồi đem luộc. Ở miền Nam thường xuất hiện phổ biến dưới dạng bánh chiên."
Bánh tai,Phú Thọ,Bánh tẻ,"Làm từ bột gạo tẻ, thịt lợn và một số gia vị khác"
Bánh bò,Miền Nam,Bánh ngọt,"Bánh xốp làm từ: bột gạo, nước, đường và men. Mặt bánh có rất nhiều bong bóng nhỏ do có nhiều lỗ khí trong bánh[8]"
Bánh cáy,Thái Bình,Bánh ngọt,"Bằng gạo nếp, và các nguyên liệu phụ khác như: gấc hoặc là lá dành dành, lạc, vừng, cà rốt, gừng, vỏ quýt, mỡ lợn."
Bánh chuối,Khắp cả nước,Bánh ngọt,Bánh bột nhân chuối[12]
Bánh cốm,Hà Nội,Bánh ngọt,"Làm từ cốm, nhân đậu xanh, dừa nạo và mứt bí hoặc mứt sen trần, thường dùng cho lễ ăn hỏi. Cốm được trộn nước theo tỷ lệ nhất định, đảo đều trên lửa, hoặc hấp chín trộn chút đường và nước hoa bưởi."
Bánh giầy đỗ,Miền Bắc,Bánh ngọt,"Bằng bột nếp hoặc xôi đồ chín giã nguyễn trong có nhân đậu xanh sên đường và bánh được phủ một lớp đậu xanh luộc, nghiền mịn, không đường ở ngoài."
Bánh da lợn,Miền Nam,Bánh ngọt,"Bằng bột năng, đường trắng, dừa nạo, va ni hay lá dứa và một số gia vị khác. Nhân bánh được làm từ đậu xanh, khoai môn nghiền mịn hoặc bào sợi hấp chín và bột gạo, đường"
Bánh đậu xanh,Hải Dương,Bánh ngọt,"Làm từ bột đậu xanh quyết nhuyễn với đường và dầu thực vật hay mỡ động vật, thường là mỡ heo. Bánh được cắt thành từng khối vuông nhỏ, gói giấy bạc thành hộp nhỏ hay gói giấy thấm mỡ thành từng thỏi"
Bánh flan,Khắp cả nước,Bánh ngọt,"Bánh được hấp chín từ các nguyên liệu chính là trứng và sữa, nước caramen"
Bánh gai,Miền Bắc,Bánh ngọt,"Vỏ bánh là bột gạo nếp và lá cây gai, nhân bánh mỡ lợn thái nhỏ, tinh dầu chuối, cơm dừa, đỗ xanh nấu chín. Bánh có dạng hình vuông, màu đen, gói trong lá gai nâu"
Bánh gio,Miền Bắc,Bánh ngọt,"Một số loại lá được đốt lên lấy tro để ngâm cùng với gạo nếp tạo ra màu nâu vàng như màu hổ phách cũng như hương vị đặc trưng của bánh. Phổ biến nhất vẫn là cách gói bánh thuôn dài. Bánh ăn chấm đường hoặc mật ong,mật mía."
Bánh in,Huế,Bánh ngọt,"Được làm từ bột năng, bột nếp, đậu xanh, đường, các nguyên liệu khác và được ép, đúc thành khuôn mặt đáy của bánh khó khắc các hình chữ Thọ, Phúc, Lộc và gói trong giấy ngũ sắc. Đây là loại bánh để dùng trong ngày Tết, phục vụ việc thờ cúng và đãi khách"
Bánh kẹp lá dứa,Khắp cả nước,Bánh ngọt,Bánh quế
Bánh khảo,Miền Bắc (Hải Dương),Bánh ngọt,"bột nếp rang với đường, nhân là mứt bí và mỡ phần"
Bánh lọt,Miền Nam,Bánh ngọt,"Bằng bột gạo cùng bột năng có mùi thơm của nước cốt dừa, đường thắng, màu xanh trắng của lá dứa, vị man mát"
Bánh mật,Miền Bắc,Bánh nếp,Làm từ bột gạo nếp trộn mật nhân đậu xanh gói lá chuối đồ bằng chõ
Bánh nhãn,Nam Định,Bánh ngọt,"Bằng bột làm từ loại gạo nếp hương hay nếp cái hoa vàng Hải Hậu. Ngoài ra cần phải có trứng gà, đường trắng (hoặc đường phèn) và mỡ lợn"
Bánh pía,Sóc Trăng,Bánh ngọt,"Được làm bằng bột mì, sầu riêng, lòng đỏ trứng"
Bánh phu thê,Bắc Ninh,Bánh nếp,"Tinh bột gạo nếp lọc ra đem xay cho thật nhuyễn rồi phơi hoặc sấy khô, nhân bánh là đỗ xanh ngâm kỹ đãi sạch vỏ. Đem hấp chín, nghiền mịn, thắng với đường và trộn lẫn vài sợi dừa đã được nạo nhỏ"
Bánh rế,Bình Thuận,Bánh khoai,làm bằng khoai lang và đường nấu chảy được tưới lên mặt bánh như cái rế
Bò 7 món,Miền Nam,Món thịt,"7 món nấu từ thịt bò:Gỏi bò, Bò chả đùm, Bò nhúng dấm, Bò nướng mỡ chài, Bò lá lốt, Bò nướng hành, Cháo Bò"
Bò sốt vang,Khắp cả nước,Món thịt,"Thịt bò được nấu với rau củ, rượu vang cho đặc sánh lại. Là món ẩm thực Pháp nhưng được Việt hóa và trở thành đặc trưng của Việt Nam"
Cá lóc nướng trui,Nam Bộ,Món cá,"cá không cần sơ chế (không đánh vảy, cạo nhớt, mổ bụng, tẩm ướp gia vị) vừa bắt dưới sông lên, rửa sạch, được xuyên bằng một que dài từ miệng đến đuôi, vùi cá vào đống rơm khô rồi châm lửa đốt."
Chả cá thát lát,"Đắk Lắk, Huế",Chả,"Làm từ thịt của cá thát lát, thường là lóc thịt, bỏ da và xương rồi giã hay xay nhuyễn thành chả viên, rồi đem xào, chiên hay làm lẩu."
Mực khô,Các vùng duyên hải,Mực,Mực được sấy khô hoặc phơi nắng rồi đem nướng hoặc rim chua ngọt để dùng kèm với bia.
Nộm sứa,Các vùng duyên hải,Sứa,"Món nộm sử dụng nguyên liệu chính là sứa đã được sơ chế, trộn chua ngọt với các loại rau, thịt động vật và gia vị."
Ốc luộc,Khắp cả nước,Ốc,"Ốc luộc lên với sả, khi ăn khều ra chấm nước mắm chua ngọt pha gừng"
Quẩy,Khắp cả nước,Bánh rán,"Bột mỳ pha thêm bột nở, rán vừa chín có dạng một cặp gồm thanh bánh dài có kích thước bằng chiếc xúc xích nhỏ dính nhau, ăn bùi và giòn"
Tiết canh,Khắp cả nước,Tiết,"Tiết động vật tươi được pha với chút nước mắm hoặc nước muối nhạt hãm cho khỏi đông trước khi trộn với những phần thịt, sụn động vật băm nhỏ để làm đông tiết."
Tiết luộc,Khắp cả nước,Tiết,"Máu động vật qua luộc, hầm đông cứng thành những khối dạng thạch"
Thịt chua,Bắc Bộ,Lên men,Thịt lợn tươi sống ướp trong thính gạo để làm thành phẩm chín tự nhiên
Trứng vịt Bắc Thảo,Miền Nam,Trứng,"Trứng vịt ủ trong một hỗn hợp từ đất sét, tro, muối, vôi, và trấu... trong nhiều tuần lễ, hay nhiều tháng"
Trứng vịt lộn,Khắp cả nước,Trứng,"Trứng vịt khi phôi thành hình luộc lên, để sôi kỹ 5 phút, rồi đập vỏ, ăn phần bên trong ngay lúc còn nóng. Các gia vị phổ biến đi kèm là rau răm, gừng tươi thái chỉ, muối tiêu"
Cá thính,Vĩnh Phúc,Lên men,"Cá nước ngọt còn tươi đem sơ chế, ướp thính để lên men chua, thơm, làm chín món ăn một cách tự nhiên"
Chả cá Lã Vọng,Hà Nội,Chả,"Món cá tẩm ướp, nướng trên than rồi rán lại trong chảo mỡ, do gia đình họ Đoàn ở phố Chả Cá trong khu phố cổ Hà Nội giữ bí quyết kinh doanh và đặt tên"
Chả chìa,"Quảng Ninh, Hải Phòng",Chả,"Một dẻ mía chẻ nhỏ bằng ngón tay, phần trên được bao bằng thịt nạc xay nhuyễn với mực khô, phần dưới để nguyên, dùng để cầm khi ăn"
Chả mực,Quảng Ninh,Chả,"Loại chả đặc sản của Hạ Long được làm rất cầu kỳ từ mực giã nhuyễn, thì là, hành hoa... nặn thành miếng và chiên ngập dầu"
Cốm,Hà Nội,Gạo tẻ,"Làm từ lúa nếp non, rang chín và giã, sàng sảy cho hết vỏ trấu"
Ngán,Quảng Ninh,Hải sản,"Ngán là loài nhuyễn thể chỉ sống ở Quảng Ninh. Ngán rất bổ dưỡng và chế biến được nhiều món ăn ngon khác nhau như ngán luộc, ngán nướng, gỏi ngán, cháo ngán, bún ngán."
Gỏi nhệch,Duyên hải Vịnh Bắc Bộ (Hải Phòng đến Thanh Hóa),Thủy sản,Thịt cá nhệch sống được bóp thính gạo cùng một số loại gia vị rồi được dùng với nhiều loại rau ăn kèm và nước chấm gỏi.
Bông điên điển,Miền Nam,Rau,"Bông điên điển là loại rau đặc trưng Nam Bộ được dùng làm dưa chua, nấu canh, ăn lẩu hay làm gỏi trộn thịt gà."
Chè đậu xanh,Khắp cả nước,Chè,"Chè đậu (đỗ) xanh nấu với đường và bột năng (hoặc bột sắn dây), có thể cho thêm dừa nạo và nước cốt dừa."
Chè hạt sen,Khắp cả nước,Chè,"Hạt sen được hấp chín, rồi nấu chung với đường cho đến khi sôi nhẹ thì khuấy thêm bột cho sánh."
Chè bà ba,Miền Nam,Chè,Chè khoai lang với đậu xanh cà và nước cốt dừa.
Chè đậu trắng,Miền Nam,Chè,Đậu trắng nấu mềm cùng với gạo nếp và nước cốt dừa.
Sủi dìn,Hải Phòng,Tráng miệng,"Bằng bột gạo nếp, nhân đậu xanh, vừng. Bên ngoài lăn vừng đen & nấu trong nước gừng nóng, rắc thêm một vài sợi dừa nạo."
Sương sáo,Khắp cả nước,Thạch,"Thân và lá cây thạch đen được phơi khô rồi xay nát, đun sôi trong nước và thêm bột, khi nguội đông lại thành thạch."
